Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.34,-.13,-.01,-.81,-.42,-.26,-.16,-.10,-.02,.05,.65
1881,-.07,-.16,.01,-.32,.10,-.06,-.91,-.39,-.18,.09,.11,-.04,-.07,.58
1882,-.10,-.20,.00,-.28,-.05,.02,-1.40,-.22,-.13,-.05,-.04,.03,.04,.61
1883,-.16,-.26,-.06,-.31,-.16,.00,-.19,-.51,-.23,-.18,-.15,-.03,.07,.48
1884,-.28,-.42,-.14,-.59,-.15,-.13,-1.31,-.60,-.46,-.13,-.16,-.18,-.02,.63
1885,-.32,-.42,-.24,-.64,-.13,-.27,-1.52,-.64,-.45,-.07,-.20,-.33,-.15,.80
1886,-.31,-.42,-.20,-.55,-.19,-.21,-1.59,-.46,-.39,-.21,-.18,-.19,-.21,.57
1887,-.35,-.42,-.28,-.51,-.30,-.28,-1.77,-.47,-.28,-.29,-.30,-.27,-.26,.30
1888,-.17,-.22,-.12,-.40,.09,-.28,-1.31,-.39,-.23,.06,.12,-.30,-.23,.14
1889,-.10,-.17,-.04,-.28,.07,-.16,-.69,-.18,-.27,.01,.14,-.15,-.15,.43
1890,-.35,-.38,-.32,-.44,-.37,-.22,-1.14,-.52,-.27,-.27,-.47,-.17,-.27,.13
1891,-.22,-.26,-.19,-.42,-.08,-.21,-1.15,-.31,-.36,.00,-.16,-.17,-.24,-.18
1892,-.27,-.39,-.15,-.43,-.30,-.08,-1.18,-.63,-.17,-.33,-.26,.03,-.22,.07
1893,-.31,-.47,-.15,-.51,-.36,-.04,-.74,-.53,-.46,-.41,-.31,.08,-.20,-.06
1894,-.30,-.39,-.21,-.32,-.33,-.23,-1.00,-.31,-.18,-.48,-.18,-.14,-.35,-.40
1895,-.22,-.30,-.15,-.40,-.07,-.25,-.71,-.51,-.26,-.14,.00,-.19,-.32,-.60
1896,-.11,-.19,-.02,-.35,.10,-.14,-.92,-.35,-.22,.06,.14,-.14,-.13,.23
1897,-.11,-.16,-.05,-.35,.17,-.23,-.60,-.44,-.23,.14,.20,-.18,-.27,.38
1898,-.26,-.27,-.26,-.32,-.22,-.26,-1.14,-.17,-.22,-.19,-.27,-.27,-.21,.36
1899,-.17,-.20,-.14,-.23,-.12,-.18,-1.04,-.07,-.14,-.16,-.08,-.15,-.22,.56
1900,-.07,-.08,-.06,-.18,.17,-.29,-.53,-.10,-.15,.09,.25,-.28,-.29,.25
1901,-.15,-.11,-.18,-.15,-.04,-.30,-.38,-.07,-.14,-.06,-.01,-.27,-.34,.24
1902,-.27,-.31,-.22,-.50,-.04,-.34,-1.31,-.47,-.32,-.02,-.05,-.27,-.43,-.07
1903,-.36,-.36,-.36,-.44,-.28,-.38,-.19,-.39,-.55,-.23,-.33,-.35,-.40,-.48
1904,-.46,-.47,-.45,-.49,-.46,-.43,-.14,-.57,-.54,-.43,-.49,-.36,-.49,-1.30
1905,-.26,-.28,-.22,-.39,-.08,-.35,-.04,-.20,-.61,-.12,-.05,-.32,-.37,-.32
1906,-.22,-.23,-.21,-.24,-.19,-.23,-.27,-.04,-.38,-.21,-.17,-.20,-.23,-.69
